"from","to","id"
"node_id_1461","node_id_744","""11969"""
"node_id_1221","node_id_2762","""42290"""
"node_id_1221","node_id_3219","""42838"""
"node_id_2853","node_id_656","""69043"""
"node_id_2853","node_id_2180","""69548"""
"node_id_2994","node_id_3043","""83842"""
"node_id_2994","node_id_1284","""83843"""
"node_id_2994","node_id_3742","""83923"""
"node_id_2994","node_id_2590","""84233"""
"node_id_2994","node_id_3233","""84283"""
"node_id_2994","node_id_4291","""84289"""
"node_id_2994","node_id_4165","""84305"""
"node_id_2994","node_id_968","""84366"""
"node_id_2994","node_id_1814","""84543"""
"node_id_2994","node_id_3429","""84585"""
"node_id_3496","node_id_11","""94116"""
"node_id_2334","node_id_3117","""103325"""
"node_id_3211","node_id_130","""111758"""
"node_id_1380","node_id_2459","""117700"""
"node_id_1466","node_id_3182","""167197"""
"node_id_2816","node_id_662","""191194"""
"node_id_2816","node_id_3335","""191214"""
"node_id_2816","node_id_2854","""191881"""
"node_id_2816","node_id_2363","""192188"""
"node_id_2816","node_id_3712","""192365"""
"node_id_2816","node_id_3253","""192883"""
"node_id_2816","node_id_2345","""193024"""
"node_id_2082","node_id_0","""204249"""
"node_id_2082","node_id_1384","""204278"""
"node_id_662","node_id_3335","""251448"""
"node_id_662","node_id_1311","""251547"""
"node_id_662","node_id_2816","""251687"""
"node_id_662","node_id_2363","""252159"""
"node_id_662","node_id_3712","""252289"""
"node_id_662","node_id_3253","""252631"""
"node_id_662","node_id_2345","""252743"""
"node_id_3067","node_id_2855","""268582"""
"node_id_1698","node_id_2634","""280467"""
"node_id_1698","node_id_3167","""281302"""
"node_id_1755","node_id_4231","""282075"""
"node_id_3856","node_id_2375","""282372"""
"node_id_3856","node_id_1964","""283109"""
"node_id_3856","node_id_261","""283612"""
"node_id_3856","node_id_1001","""283724"""
"node_id_3856","node_id_2858","""283834"""
"node_id_1648","node_id_3411","""302840"""
"node_id_4352","node_id_2826","""306425"""
"node_id_1135","node_id_752","""327799"""
"node_id_2826","node_id_4352","""368380"""
"node_id_807","node_id_3769","""390765"""
"node_id_807","node_id_1978","""391836"""
"node_id_418","node_id_1554","""412973"""
"node_id_418","node_id_3536","""413489"""
"node_id_418","node_id_4380","""413529"""
"node_id_418","node_id_3682","""413611"""
"node_id_418","node_id_2727","""413622"""
"node_id_1316","node_id_2932","""425295"""
"node_id_1056","node_id_871","""441243"""
"node_id_1056","node_id_915","""441924"""
"node_id_1056","node_id_2086","""442040"""
"node_id_1056","node_id_1036","""442302"""
"node_id_1709","node_id_4249","""457956"""
"node_id_1709","node_id_811","""458002"""
"node_id_1709","node_id_3919","""458035"""
"node_id_1709","node_id_3924","""458115"""
"node_id_1709","node_id_168","""458134"""
"node_id_1709","node_id_4423","""458334"""
"node_id_1709","node_id_3897","""458443"""
"node_id_1709","node_id_3878","""458492"""
"node_id_1709","node_id_4336","""458567"""
"node_id_1709","node_id_822","""458763"""
"node_id_1709","node_id_3609","""458770"""
"node_id_1709","node_id_4012","""459023"""
