"label","id","mRNA","methy"
"ACTN1","node_id_0",13.119199752807617,0.19009999930858612
"ATP2A1","node_id_1",1.382699966430664,0.40450000762939453
"MAN1B1","node_id_2",10.299200057983398,0.4503999948501587
"NPHP4","node_id_3",7.611000061035156,-0.41819998621940613
"MAEL","node_id_4",2.954400062561035,0.4618000090122223
"PROX1","node_id_5",2.6191999912261963,-0.2476000040769577
"NR5A2","node_id_6",5.9857001304626465,0.2777000069618225
"ETV6","node_id_7",10.52869987487793,-0.3179999887943268
"COL6A3","node_id_8",15.784600257873535,0.20550000667572021
"SLMAP","node_id_9",10.7701997756958,-0.44690001010894775
"ITGAD","node_id_10",2.954400062561035,0.2549999952316284
"SMARCC2","node_id_11",11.560099601745605,-0.4544999897480011
"DNAH17","node_id_12",5.125500202178955,0.329800009727478
"RFX5","node_id_13",10.312399864196777,-0.461899995803833
"CASZ1","node_id_14",10.001299858093262,-0.07689999788999557
"MEOX2","node_id_15",5.258999824523926,0.1429000049829483
"ZFP36","node_id_16",11.859100341796875,-0.47940000891685486
"SLC2A9","node_id_17",6.125100135803223,0.28870001435279846
"LOXL4","node_id_18",6.606599807739258,0.4156000018119812
"CSMD2","node_id_19",6.46150016784668,-0.4171999990940094
"EHMT1","node_id_20",10.31309986114502,0.43650001287460327
"MTMR7","node_id_21",8.24269962310791,-0.19519999623298645
"ANKRD11","node_id_22",10.149999618530273,0.38420000672340393
"TDRD6","node_id_23",2.459700107574463,0.4699999988079071
"WWP2","node_id_24",9.335200309753418,0.38040000200271606
"SERPINB12","node_id_25",0.0,0.09809999912977219
"SRCAP","node_id_26",11.742199897766113,-0.4844000041484833
"GPHN","node_id_27",8.767000198364258,-0.41119998693466187
"OTOF","node_id_28",3.759000062942505,0.1817999929189682
"NUP210L","node_id_29",0.40220001339912415,0.43070000410079956
"MTUS2","node_id_30",6.999899864196777,-0.42309999465942383
"ZNF362","node_id_31",9.141799926757812,0.3928000032901764
"PTPRF","node_id_32",13.100299835205078,-0.050999999046325684
"PACS2","node_id_33",9.537199974060059,0.46700000762939453
"CACNA1A","node_id_34",4.066400051116943,-0.07000000029802322
"SLC6A5","node_id_35",0.0,-0.18240000307559967
"DSTYK","node_id_36",9.617899894714355,-0.48410001397132874
"APAF1","node_id_37",9.12030029296875,-0.48500001430511475
"GFPT2","node_id_38",9.243300437927246,0.14560000598430634
"LRRC4B","node_id_39",1.382699966430664,-0.47380000352859497
"AEBP1","node_id_40",14.644100189208984,0.43160000443458557
"PELI2","node_id_41",8.4128999710083,-0.14650000631809235
"DDX18","node_id_42",10.917699813842773,-0.47769999504089355
"CDH8","node_id_43",2.8933000564575195,-0.32820001244544983
"COL4A1","node_id_44",12.748299598693848,0.46880000829696655
"RBM47","node_id_45",11.28380012512207,-0.0803999975323677
"NLRC3","node_id_46",6.418700218200684,0.14659999310970306
"TINAG","node_id_47",0.0,0.21330000460147858
"ARPC2","node_id_48",12.078800201416016,0.4375999867916107
"CABYR","node_id_49",6.910200119018555,-0.42170000076293945
"FBF1","node_id_50",7.385700225830078,0.3626999855041504
