protein1 protein2 combined_score
node_name_0 node_name_633 0.0
node_name_0 node_name_1862 0.6931471805599453
node_name_0 node_name_2582 1.0986122886681098
node_name_1 node_name_2 1.3862943611198906
node_name_1 node_name_652 1.6094379124341003
node_name_1 node_name_654 1.791759469228055
node_name_2 node_name_1 1.9459101490553132
node_name_2 node_name_332 2.0794415416798357
node_name_2 node_name_1454 2.1972245773362196
node_name_2 node_name_1666 2.302585092994046
node_name_2 node_name_1986 2.3978952727983707
node_name_3 node_name_2544 2.4849066497880004
node_name_4 node_name_1016 2.5649493574615367
node_name_4 node_name_1256 2.6390573296152584
node_name_4 node_name_1761 2.70805020110221
node_name_4 node_name_2175 2.772588722239781
node_name_4 node_name_2176 2.833213344056216
node_name_5 node_name_1629 2.8903717578961645
node_name_5 node_name_1659 2.9444389791664403
node_name_5 node_name_2546 2.995732273553991
node_name_6 node_name_373 3.044522437723423
node_name_6 node_name_1042 3.091042453358316
node_name_6 node_name_1416 3.1354942159291497
node_name_6 node_name_1602 3.1780538303479458
node_name_7 node_name_208 3.2188758248682006
node_name_8 node_name_269 3.258096538021482
node_name_8 node_name_281 3.295836866004329
node_name_8 node_name_1996 3.332204510175204
node_name_9 node_name_723 3.367295829986474
node_name_9 node_name_2614 3.4011973816621555
node_name_10 node_name_476 3.4339872044851463
node_name_10 node_name_2545 3.4657359027997265
node_name_11 node_name_1655 3.4965075614664802
node_name_11 node_name_1839 3.5263605246161616
node_name_12 node_name_1001 3.5553480614894135
node_name_12 node_name_1318 3.58351893845611
node_name_12 node_name_2661 3.6109179126442243
node_name_12 node_name_2662 3.6375861597263857
node_name_13 node_name_1701 3.6635616461296463
node_name_13 node_name_1810 3.6888794541139363
node_name_14 node_name_158 3.713572066704308
node_name_14 node_name_2034 3.7376696182833684
node_name_14 node_name_2075 3.7612001156935624
node_name_14 node_name_2077 3.784189633918261
node_name_14 node_name_2668 3.8066624897703196
node_name_15 node_name_1090 3.828641396489095
node_name_15 node_name_1093 3.8501476017100584
node_name_15 node_name_1271 3.871201010907891
node_name_15 node_name_2367 3.8918202981106265
node_name_16 node_name_970 3.912023005428146
node_name_16 node_name_1632 3.9318256327243257
node_name_16 node_name_2444 3.9512437185814275
node_name_16 node_name_2642 3.970291913552122
node_name_17 node_name_24 3.9889840465642745
node_name_17 node_name_927 4.007333185232471
node_name_17 node_name_1315 4.02535169073515
node_name_17 node_name_1316 4.04305126783455
node_name_17 node_name_2140 4.060443010546419
node_name_18 node_name_139 4.07753744390572
node_name_18 node_name_1560 4.0943445622221
node_name_18 node_name_1786 4.110873864173311
node_name_18 node_name_2082 4.127134385045092
node_name_18 node_name_2145 4.143134726391533
node_name_19 node_name_1939 4.1588830833596715
node_name_20 node_name_1072 4.174387269895637
node_name_20 node_name_2269 4.189654742026425
node_name_20 node_name_2270 4.204692619390966
node_name_20 node_name_2374 4.219507705176107
node_name_20 node_name_2375 4.23410650459726
node_name_21 node_name_1043 4.248495242049359
node_name_21 node_name_2310 4.2626798770413155
node_name_22 node_name_39 4.276666119016055
node_name_22 node_name_1234 4.290459441148391
node_name_22 node_name_1702 4.30406509320417
node_name_22 node_name_1703 4.31748811353631
node_name_22 node_name_2238 4.330733340286331
node_name_23 node_name_2159 4.343805421853684
node_name_24 node_name_17 4.356708826689592
node_name_24 node_name_201 4.3694478524670215
node_name_24 node_name_598 4.382026634673881
node_name_24 node_name_1636 4.394449154672439
node_name_24 node_name_1701 4.406719247264253
node_name_24 node_name_2139 4.418840607796598
node_name_24 node_name_2141 4.430816798843313
node_name_25 node_name_1301 4.442651256490317
node_name_25 node_name_1344 4.454347296253507
node_name_25 node_name_2011 4.465908118654584
node_name_25 node_name_2317 4.477336814478207
node_name_26 node_name_99 4.48863636973214
node_name_26 node_name_122 4.499809670330265
node_name_26 node_name_123 4.51085950651685
node_name_26 node_name_2454 4.5217885770490405
node_name_26 node_name_2455 4.532599493153256
node_name_27 node_name_606 4.543294782270004
node_name_27 node_name_1810 4.553876891600541
node_name_27 node_name_2360 4.564348191467836
node_name_27 node_name_2578 4.574710978503383
node_name_28 node_name_1687 4.584967478670572
node_name_29 node_name_963 4.59511985013459
node_name_29 node_name_2645 4.605170185988092
node_name_30 node_name_697 4.61512051684126
node_name_30 node_name_738 4.624972813284271
node_name_30 node_name_1358 4.634728988229636
node_name_30 node_name_1416 4.6443908991413725
node_name_30 node_name_2162 4.653960350157523
node_name_30 node_name_2343 4.663439094112067
node_name_31 node_name_1594 4.672828834461906
node_name_32 node_name_279 4.68213122712422
node_name_32 node_name_518 4.6913478822291435
node_name_32 node_name_1850 4.700480365792417
node_name_32 node_name_1973 4.709530201312334
