"from","to","id"
"node_id_2970","node_id_1278","""4719"""
"node_id_2970","node_id_4330","""4721"""
"node_id_2970","node_id_1617","""4738"""
"node_id_2970","node_id_4115","""4745"""
"node_id_2970","node_id_3911","""4752"""
"node_id_2970","node_id_2182","""4787"""
"node_id_2970","node_id_510","""4800"""
"node_id_2970","node_id_2563","""4828"""
"node_id_2970","node_id_4235","""4843"""
"node_id_2970","node_id_1833","""4852"""
"node_id_2970","node_id_3566","""4853"""
"node_id_2970","node_id_989","""4856"""
"node_id_2970","node_id_4095","""4857"""
"node_id_2970","node_id_3942","""4885"""
"node_id_2970","node_id_3038","""4894"""
"node_id_2970","node_id_2023","""4918"""
"node_id_2970","node_id_363","""4925"""
"node_id_2970","node_id_3763","""4944"""
"node_id_2970","node_id_970","""4946"""
"node_id_2970","node_id_4074","""4965"""
"node_id_2970","node_id_2337","""4967"""
"node_id_2970","node_id_4004","""4978"""
"node_id_2970","node_id_525","""4984"""
"node_id_2970","node_id_2427","""4998"""
"node_id_2970","node_id_3998","""5004"""
"node_id_2970","node_id_3827","""5014"""
"node_id_2970","node_id_3858","""5023"""
"node_id_2970","node_id_1065","""5038"""
"node_id_2970","node_id_4215","""5063"""
"node_id_2970","node_id_3431","""5072"""
"node_id_2970","node_id_3505","""5080"""
"node_id_2970","node_id_563","""5081"""
"node_id_2970","node_id_1270","""5086"""
"node_id_2970","node_id_952","""5108"""
"node_id_2970","node_id_1945","""5119"""
"node_id_2970","node_id_2338","""5129"""
"node_id_2970","node_id_3453","""5131"""
"node_id_2970","node_id_1595","""5136"""
"node_id_2970","node_id_2667","""5154"""
"node_id_2970","node_id_3547","""5157"""
"node_id_2970","node_id_2892","""5160"""
"node_id_2970","node_id_1692","""5173"""
"node_id_1727","node_id_3824","""6178"""
"node_id_1727","node_id_4020","""6227"""
"node_id_1727","node_id_1246","""6273"""
"node_id_1727","node_id_3812","""6291"""
"node_id_1727","node_id_218","""6314"""
"node_id_1727","node_id_2556","""6322"""
"node_id_1727","node_id_3879","""6354"""
"node_id_1727","node_id_1990","""6356"""
"node_id_1727","node_id_2562","""6388"""
"node_id_1727","node_id_3270","""6431"""
"node_id_1727","node_id_4130","""6492"""
"node_id_1727","node_id_3110","""6642"""
"node_id_1727","node_id_2849","""6661"""
"node_id_1727","node_id_2125","""6672"""
"node_id_1727","node_id_4449","""6693"""
"node_id_1727","node_id_3083","""6704"""
"node_id_1727","node_id_3004","""6720"""
"node_id_1727","node_id_3484","""6776"""
"node_id_1727","node_id_2599","""7054"""
"node_id_1727","node_id_1128","""7083"""
"node_id_1727","node_id_958","""7106"""
"node_id_1727","node_id_2934","""7147"""
"node_id_1727","node_id_4245","""7155"""
"node_id_1727","node_id_810","""7181"""
"node_id_1727","node_id_2844","""7406"""
"node_id_1727","node_id_3051","""7425"""
"node_id_1727","node_id_3992","""7463"""
"node_id_1727","node_id_3604","""7499"""
"node_id_1727","node_id_48","""7529"""
"node_id_1727","node_id_3477","""7530"""
"node_id_1727","node_id_3686","""7592"""
"node_id_1727","node_id_3295","""7597"""
"node_id_1727","node_id_2960","""7627"""
"node_id_1727","node_id_80","""7811"""
"node_id_1727","node_id_1815","""7832"""
"node_id_1727","node_id_2380","""7952"""
"node_id_1727","node_id_3269","""7976"""
"node_id_1727","node_id_132","""7984"""
"node_id_1727","node_id_3321","""8001"""
"node_id_1727","node_id_2296","""8023"""
"node_id_1727","node_id_1958","""8061"""
"node_id_3495","node_id_1975","""14834"""
"node_id_3495","node_id_3622","""14912"""
"node_id_3495","node_id_4038","""15039"""
"node_id_3495","node_id_983","""15514"""
"node_id_3495","node_id_496","""15578"""
"node_id_3824","node_id_3246","""30331"""
"node_id_3824","node_id_4018","""31005"""
"node_id_3824","node_id_1099","""31118"""
"node_id_3824","node_id_4331","""31428"""
"node_id_3824","node_id_327","""31503"""
"node_id_3824","node_id_1525","""31682"""
"node_id_3824","node_id_2271","""31696"""
"node_id_3824","node_id_1501","""31725"""
"node_id_3824","node_id_2624","""31738"""
"node_id_3824","node_id_3687","""31742"""
"node_id_3824","node_id_4405","""31797"""
"node_id_1925","node_id_2052","""39396"""
"node_id_1925","node_id_2467","""39458"""
"node_id_1925","node_id_739","""39479"""
"node_id_1925","node_id_303","""39517"""
"node_id_1925","node_id_3204","""39590"""
"node_id_1925","node_id_1487","""39687"""
"node_id_1730","node_id_2590","""41697"""
"node_id_1221","node_id_402","""42183"""
"node_id_1221","node_id_2762","""42290"""
"node_id_1221","node_id_3257","""42507"""
"node_id_1221","node_id_3648","""42532"""
"node_id_1221","node_id_1978","""42648"""
"node_id_1221","node_id_598","""42675"""
"node_id_1221","node_id_2460","""42738"""
"node_id_1221","node_id_2929","""42808"""
"node_id_1221","node_id_3219","""42838"""
"node_id_1337","node_id_1809","""66049"""
"node_id_1337","node_id_1880","""66144"""
"node_id_1337","node_id_607","""66216"""
"node_id_1337","node_id_2770","""66245"""
"node_id_1337","node_id_2404","""66283"""
"node_id_1337","node_id_257","""66301"""
