"label","id","mRNA","methy"
"ACTN1","node_id_0",10.969300270080566,0.12470000237226486
"NR5A2","node_id_6",7.621600151062012,0.12929999828338623
"COL6A3","node_id_8",10.171299934387207,0.39879998564720154
"ITGAD","node_id_10",3.6903998851776123,0.2888000011444092
"SMARCC2","node_id_11",10.940899848937988,-0.4851999878883362
"LOXL4","node_id_18",7.090199947357178,0.2973000109195709
"EHMT1","node_id_20",9.659199714660645,0.4115000069141388
"MTMR7","node_id_21",5.169600009918213,0.19760000705718994
"CACNA1A","node_id_34",3.896699905395508,0.012400000356137753
"GFPT2","node_id_38",2.469099998474121,0.29170000553131104
"PELI2","node_id_41",8.074299812316895,0.02590000070631504
"COL4A1","node_id_44",14.633299827575684,0.34630000591278076
"ARPC2","node_id_48",12.04520034790039,0.3292999863624573
"FBF1","node_id_50",5.815400123596191,-0.4810999929904938
"PRKCH","node_id_51",10.219799995422363,0.2865999937057495
"TRIM56","node_id_53",9.357600212097168,0.3425000011920929
"ASAP2","node_id_56",10.424799919128418,-0.30309998989105225
"KIF3A","node_id_59",8.974900245666504,-0.47999998927116394
"ARHGAP15","node_id_63",6.6143999099731445,0.029400000348687172
"KIF26A","node_id_65",7.445099830627441,-0.4104999899864197
"THRA","node_id_69",10.034700393676758,-0.2614000141620636
"PTK2B","node_id_71",9.087499618530273,0.11219999939203262
"ESCO1","node_id_72",7.999499797821045,-0.4318000078201294
"SPTBN4","node_id_77",3.7216999530792236,-0.30000001192092896
"RNF111","node_id_79",9.744199752807617,-0.42179998755455017
"IGF2R","node_id_80",12.183500289916992,0.46470001339912415
"MAPK4","node_id_81",0.3601999878883362,-0.32429999113082886
"NRCAM","node_id_82",10.192099571228027,0.44029998779296875
"PLXNC1","node_id_84",8.080400466918945,-0.414900004863739
"UBR1","node_id_88",9.952199935913086,0.13379999995231628
"GBF1","node_id_89",10.378499984741211,-0.13910000026226044
"DOCK1","node_id_93",10.337699890136719,0.3382999897003174
"CRHR1","node_id_98",0.0,0.2542000114917755
"HTR1D","node_id_99",2.0423998832702637,0.13910000026226044
"RNF220","node_id_100",9.600500106811523,-0.45719999074935913
"LRPPRC","node_id_101",12.244799613952637,-0.4666999876499176
"ABR","node_id_107",10.129899978637695,0.3046000003814697
"ALDOA","node_id_111",15.112799644470215,-0.23340000212192535
"ANK3","node_id_112",11.120100021362305,0.10199999809265137
"NCAPD2","node_id_114",9.228500366210938,0.4171999990940094
"DCC","node_id_117",0.8881000280380249,0.35899999737739563
"CD2","node_id_118",7.98829984664917,0.38370001316070557
"THBS1","node_id_120",15.354299545288086,-0.03180000185966492
"GABBR1","node_id_122",6.133200168609619,0.44600000977516174
"MTSS1","node_id_124",10.345499992370605,-0.18019999563694
"NCOA7","node_id_125",11.927900314331055,0.387800008058548
"ARHGEF4","node_id_128",1.2736999988555908,0.07240000367164612
"EHMT2","node_id_129",9.503399848937988,0.4388999938964844
"HIP1","node_id_132",10.67650032043457,0.3928999900817871
"ARHGEF10","node_id_140",10.2391996383667,-0.23399999737739563
"BRCA2","node_id_144",6.005300045013428,0.3817000091075897
"USP4","node_id_149",9.721099853515625,-0.4593000113964081
"CROT","node_id_152",8.783100128173828,-0.2198999971151352
"ATP11A","node_id_155",13.616100311279297,-0.1785999983549118
"UGP2","node_id_156",11.37720012664795,0.3952000141143799
"ACTA1","node_id_158",0.8881000280380249,-0.14429999887943268
"PUM1","node_id_160",10.876799583435059,-0.04149999842047691
"ADCY9","node_id_161",10.460599899291992,-0.3589000105857849
"KIF26B","node_id_162",4.818699836730957,-0.000699999975040555
"GRIN2A","node_id_163",2.3933000564575195,-0.2578999996185303
"RBM45","node_id_165",7.177599906921387,-0.36489999294281006
"PIK3CB","node_id_170",10.950799942016602,0.3955000042915344
"FBXO31","node_id_172",8.494099617004395,0.37619999051094055
"EXOC4","node_id_173",10.479399681091309,-0.47839999198913574
"CREBBP","node_id_174",11.281000137329102,-0.30720001459121704
"TAX1BP1","node_id_176",11.575499534606934,-0.45010000467300415
"ARHGEF11","node_id_181",9.848199844360352,0.4074000120162964
"SYNE1","node_id_183",11.611200332641602,-0.4334000051021576
"PEX1","node_id_186",9.24209976196289,-0.4814999997615814
"COG1","node_id_187",9.402199745178223,-0.48190000653266907
"KCNAB2","node_id_188",8.034299850463867,0.05719999969005585
"COL12A1","node_id_189",8.948699951171875,0.1818999946117401
"EPHA7","node_id_190",9.127599716186523,-0.40389999747276306
"RBL1","node_id_193",6.4369001388549805,-0.38019999861717224
"ARHGAP30","node_id_194",9.221699714660645,0.039500001817941666
"PLOD3","node_id_197",10.753600120544434,-0.11150000244379044
"COL20A1","node_id_198",0.0,-0.4560000002384186
"PDE4B","node_id_200",8.203399658203125,-0.3828999996185303
"LRP6","node_id_201",9.931400299072266,-0.19629999995231628
"CBX2","node_id_203",4.697800159454346,0.16419999301433563
"PRDM16","node_id_208",4.301199913024902,-0.014800000004470348
